time,f_solid,interface_pos,interface_speed
2.800000000000001599e+00,5.690735960469088806e-01,4.309264039530911106e+01,-2.277070319054708136e+00
2.840000000000001634e+00,5.699545919887767376e-01,4.300454080112231736e+01,-2.202489854669842373e+00
2.880000000000001670e+00,5.708071283625465453e-01,4.291928716374534503e+01,-2.131340934424308386e+00
2.920000000000001705e+00,5.716327689485992680e-01,4.283672310514007364e+01,-2.064101465131784607e+00
2.960000000000001741e+00,5.724332182133146096e-01,4.275667817866853682e+01,-2.001123161788420646e+00
3.000000000000001776e+00,5.732102810451900066e-01,4.267897189548099846e+01,-1.942657079688459021e+00
3.040000000000001812e+00,5.739658316223517076e-01,4.260341683776483279e+01,-1.888876442904141584e+00
3.080000000000001847e+00,5.747017900910991184e-01,4.252982099089009438e+01,-1.839896171868460328e+00
3.120000000000001883e+00,5.754201057054327828e-01,4.245798942945671683e+01,-1.795789035834438607e+00
3.160000000000001918e+00,5.761227451823097701e-01,4.238772548176902433e+01,-1.756598692192312683e+00
3.200000000000001954e+00,5.768116852013396301e-01,4.231883147986604143e+01,-1.722350047574572329e+00
3.240000000000001990e+00,5.774889081702120341e-01,4.225110918297880147e+01,-1.693057422180999083e+00
3.280000000000002025e+00,5.781564005549291174e-01,4.218435994450708648e+01,-1.668730961792874723e+00
3.320000000000002061e+00,5.788161532194014969e-01,4.211838467805984720e+01,-1.649381661180981951e+00
3.360000000000002096e+00,5.794701633264338625e-01,4.205298366735661375e+01,-1.635025267580836328e+00
3.400000000000002132e+00,5.801204374236236250e-01,4.198795625763764150e+01,-1.625685242974306277e+00
3.440000000000002167e+00,5.807689953787955606e-01,4.192310046212044483e+01,-1.621394887929916706e+00
3.480000000000002203e+00,5.814178748456880763e-01,4.185821251543119814e+01,-1.622198667231167235e+00
3.520000000000002238e+00,5.820691359357679229e-01,4.179308640642320682e+01,-1.628152725199782935e+00
3.560000000000002274e+00,5.827248657466728154e-01,4.172751342533271668e+01,-1.639324527262253639e+00
3.600000000000002309e+00,5.833871823491405539e-01,4.166128176508593839e+01,-1.655791506169457250e+00
3.640000000000002345e+00,5.840582377565196603e-01,4.159417622434803263e+01,-1.677638518447643889e+00
