time,thickness_phi_pm0.8
1.899999999999977263e+01,3.263701204591136218e+00
1.903999999999977177e+01,nan
1.907999999999977092e+01,nan
1.911999999999977007e+01,nan
1.915999999999976922e+01,nan
1.919999999999976836e+01,nan
1.923999999999976751e+01,nan
1.927999999999976666e+01,nan
1.931999999999976581e+01,nan
1.935999999999976495e+01,nan
1.939999999999976410e+01,nan
1.943999999999976325e+01,nan
1.947999999999976239e+01,nan
1.951999999999976154e+01,nan
1.955999999999976069e+01,nan
1.959999999999975984e+01,nan
1.963999999999975898e+01,nan
1.967999999999975813e+01,nan
1.971999999999975728e+01,nan
1.975999999999975643e+01,nan
1.979999999999975557e+01,nan
1.983999999999975472e+01,nan
1.987999999999975387e+01,nan
1.991999999999975302e+01,nan
1.995999999999975216e+01,nan
1.999999999999975131e+01,nan
2.003999999999975046e+01,nan
2.007999999999974960e+01,nan
2.011999999999974875e+01,nan
2.015999999999974790e+01,nan
2.019999999999974705e+01,nan
2.023999999999974619e+01,nan
2.027999999999974534e+01,nan
2.031999999999974449e+01,nan
2.035999999999974364e+01,nan
2.039999999999974278e+01,nan
2.043999999999974193e+01,nan
2.047999999999974108e+01,nan
2.051999999999974023e+01,nan
2.055999999999973937e+01,nan
2.059999999999973852e+01,nan
2.063999999999973767e+01,nan
2.067999999999973681e+01,nan
2.071999999999973596e+01,nan
2.075999999999973511e+01,nan
2.079999999999973426e+01,nan
2.083999999999973340e+01,nan
2.087999999999973255e+01,nan
2.091999999999973170e+01,nan
2.095999999999973085e+01,nan
2.099999999999972999e+01,nan
2.103999999999972914e+01,nan
2.107999999999972829e+01,nan
2.111999999999972744e+01,nan
2.115999999999972658e+01,nan
2.119999999999972573e+01,nan
2.123999999999972488e+01,nan
2.127999999999972403e+01,nan
2.131999999999972317e+01,nan
2.135999999999972232e+01,nan
2.139999999999972147e+01,nan
2.143999999999972061e+01,nan
2.147999999999971976e+01,nan
2.151999999999971891e+01,nan
2.155999999999971806e+01,nan
2.159999999999971720e+01,nan
2.163999999999971635e+01,nan
2.167999999999971550e+01,nan
2.171999999999971465e+01,nan
2.175999999999971379e+01,nan
2.179999999999971294e+01,nan
2.183999999999971209e+01,nan
2.187999999999971124e+01,nan
2.191999999999971038e+01,nan
2.195999999999970953e+01,nan
2.199999999999970868e+01,nan
2.203999999999970782e+01,nan
2.207999999999970697e+01,nan
2.211999999999970612e+01,nan
2.215999999999970527e+01,nan
