time,total_energy
6.280000000000004690e+00,-1.035754081853204525e+03
6.320000000000004725e+00,-1.038986936616607636e+03
6.360000000000004761e+00,-1.042212709070143546e+03
6.400000000000004796e+00,-1.045435631825140490e+03
6.440000000000004832e+00,-1.048660219670413198e+03
6.480000000000004867e+00,-1.051890819343625708e+03
6.520000000000004903e+00,-1.055131175499653637e+03
6.560000000000004938e+00,-1.058384053405400209e+03
6.600000000000004974e+00,-1.061650954961842672e+03
6.640000000000005009e+00,-1.064931957748817695e+03
6.680000000000005045e+00,-1.068225696593131488e+03
6.720000000000005080e+00,-1.071529493775466335e+03
6.760000000000005116e+00,-1.074839628294439990e+03
6.800000000000005151e+00,-1.078151718381517640e+03
6.840000000000005187e+00,-1.081461177165308300e+03
6.880000000000005222e+00,-1.084763691592180749e+03
6.920000000000005258e+00,-1.088055671378028137e+03
6.960000000000005294e+00,-1.091334618632967249e+03
7.000000000000005329e+00,-1.094599379134463106e+03
7.040000000000005365e+00,-1.097850251048981818e+03
7.080000000000005400e+00,-1.101088943592555552e+03
7.120000000000005436e+00,-1.104318394128845284e+03
7.160000000000005471e+00,-1.107542465652250939e+03
7.200000000000005507e+00,-1.110765556542280592e+03
7.240000000000005542e+00,-1.113992160793224684e+03
7.280000000000005578e+00,-1.117226419996514778e+03
7.320000000000005613e+00,-1.120471708625059364e+03
7.360000000000005649e+00,-1.123730291827210976e+03
7.400000000000005684e+00,-1.127003089818446142e+03
7.440000000000005720e+00,-1.130289574704123652e+03
7.480000000000005755e+00,-1.133587813990975292e+03
7.520000000000005791e+00,-1.136894660543142436e+03
7.560000000000005826e+00,-1.140206072576005909e+03
7.600000000000005862e+00,-1.143517531569010998e+03
7.640000000000005898e+00,-1.146824513301331763e+03
7.680000000000005933e+00,-1.150122959962980076e+03
7.720000000000005969e+00,-1.153409700967476283e+03
7.760000000000006004e+00,-1.156682776811588155e+03
7.800000000000006040e+00,-1.159941632793633289e+03
7.840000000000006075e+00,-1.163187165289084305e+03
7.880000000000006111e+00,-1.166421619924194374e+03
7.920000000000006146e+00,-1.169648356073557352e+03
7.960000000000006182e+00,-1.172871504138418231e+03
8.000000000000005329e+00,-1.176095550470380203e+03
8.040000000000004476e+00,-1.179324889725215826e+03
8.080000000000003624e+00,-1.182563386311151135e+03
8.120000000000002771e+00,-1.185813985792017093e+03
8.160000000000001918e+00,-1.189078413651430310e+03
8.200000000000001066e+00,-1.192356992444163552e+03
8.240000000000000213e+00,-1.195648598719780466e+03
8.279999999999999361e+00,-1.198950768219852307e+03
8.319999999999998508e+00,-1.202259942465148470e+03
8.359999999999997655e+00,-1.205571833604862377e+03
8.399999999999996803e+00,-1.208881869668224454e+03
8.439999999999995950e+00,-1.212185671720600794e+03
8.479999999999995097e+00,-1.215479509970138452e+03
8.519999999999994245e+00,-1.218760688548998132e+03
8.559999999999993392e+00,-1.222027818010752071e+03
8.599999999999992539e+00,-1.225280948752542372e+03
8.639999999999991687e+00,-1.228521555039559871e+03
8.679999999999990834e+00,-1.231752375500698463e+03
8.719999999999989981e+00,-1.234977129875961282e+03
8.759999999999989129e+00,-1.238200142330486642e+03
8.799999999999988276e+00,-1.241425908568349541e+03
8.839999999999987423e+00,-1.244658647592622856e+03
8.879999999999986571e+00,-1.247901879709937020e+03
8.919999999999985718e+00,-1.251158070499800033e+03
8.959999999999984865e+00,-1.254428375846790232e+03
8.999999999999984013e+00,-1.257712515427539756e+03
9.039999999999983160e+00,-1.261008791019857199e+03
9.079999999999982307e+00,-1.264314251946428840e+03
9.119999999999981455e+00,-1.267624993996877492e+03
9.159999999999980602e+00,-1.270936562276935319e+03
9.199999999999979750e+00,-1.274244415141373793e+03
9.239999999999978897e+00,-1.277544398132748711e+03
9.279999999999978044e+00,-1.280833175337558941e+03
9.319999999999977192e+00,-1.284108571142952769e+03
9.359999999999976339e+00,-1.287369786952597678e+03
9.399999999999975486e+00,-1.290617472823062371e+03
9.439999999999974634e+00,-1.293853650575292477e+03
9.479999999999973781e+00,-1.297081500333058102e+03
9.519999999999972928e+00,-1.300305035004461843e+03
9.559999999999972076e+00,-1.303528696238525072e+03
9.599999999999971223e+00,-1.306756910888072980e+03
9.639999999999970370e+00,-1.309993649403698555e+03
9.679999999999969518e+00,-1.313242027247231590e+03
9.719999999999968665e+00,-1.316503987435781028e+03
9.759999999999967812e+00,-1.319780096469916316e+03
9.799999999999966960e+00,-1.323069476822802471e+03
9.839999999999966107e+00,-1.326369886811157130e+03
9.879999999999965254e+00,-1.329677943648130395e+03
9.919999999999964402e+00,-1.332989469287726706e+03
9.959999999999963549e+00,-1.336299923578381140e+03
9.999999999999962697e+00,-1.339604877825007179e+03
1.003999999999996184e+01,-1.342900476309764144e+03
1.007999999999996099e+01,-1.346183834799436681e+03
1.011999999999996014e+01,-1.349453333316700082e+03
1.015999999999995929e+01,-1.352708773881191973e+03
1.019999999999995843e+01,-1.355951390089483539e+03
1.023999999999995758e+01,-1.359183711704084544e+03
1.027999999999995673e+01,-1.362409301751503108e+03
1.031999999999995588e+01,-1.365632394741194958e+03
1.035999999999995502e+01,-1.368857472139349511e+03
1.039999999999995417e+01,-1.372088815398092493e+03
1.043999999999995332e+01,-1.375330078083419949e+03
1.047999999999995246e+01,-1.378583917234841692e+03
1.051999999999995161e+01,-1.381851719963122378e+03
1.055999999999995076e+01,-1.385133454134597741e+03
1.059999999999994991e+01,-1.388427661530912701e+03
1.063999999999994905e+01,-1.391731598299268171e+03
1.067999999999994820e+01,-1.395041511794927601e+03
1.071999999999994735e+01,-1.398353026914955990e+03
1.075999999999994650e+01,-1.401661601192747639e+03
1.079999999999994564e+01,-1.404962998759491938e+03
1.083999999999994479e+01,-1.408253730603169743e+03
1.087999999999994394e+01,-1.411531412951601396e+03
1.091999999999994309e+01,-1.414795006228455350e+03
1.095999999999994223e+01,-1.418044911864647247e+03
1.099999999999994138e+01,-1.421282920710665621e+03
1.103999999999994053e+01,-1.424512022441708950e+03
1.107999999999993967e+01,-1.427736098410248132e+03
1.111999999999993882e+01,-1.430959530015497876e+03
1.115999999999993797e+01,-1.434186760747009203e+03
