time,f_solid,interface_pos,interface_speed
7.080000000000005400e+00,6.617300773548827619e-01,3.308650386774413477e+01,1.274220855903074323e+00
7.120000000000005436e+00,6.627486003640685741e-01,3.313743001820343181e+01,1.273153761482426205e+00
7.160000000000005471e+00,6.637665280768989540e-01,3.318832640384494681e+01,1.272409641037874906e+00
7.200000000000005507e+00,6.647841790979061027e-01,3.323920895489530380e+01,1.272063776258924861e+00
7.240000000000005542e+00,6.658019000768905515e-01,3.329009500384452735e+01,1.272151223730588754e+00
7.280000000000005578e+00,6.668200307125436987e-01,3.334100153562718560e+01,1.272663294566456216e+00
7.320000000000005613e+00,6.678388693605042947e-01,3.339194346802521807e+01,1.273548309950811586e+00
7.360000000000005649e+00,6.688586426478038138e-01,3.344293213239019025e+01,1.274716609124304512e+00
7.400000000000005684e+00,6.698794821718665471e-01,3.349397410859332780e+01,1.276049405078438781e+00
7.440000000000005720e+00,6.709014107339180688e-01,3.354507053669590277e+01,1.277410702564374390e+00
7.480000000000005755e+00,6.719243396499349208e-01,3.359621698249674893e+01,1.278661145021153800e+00
7.520000000000005791e+00,6.729480775627040279e-01,3.364740387813520073e+01,1.279672390961295037e+00
7.560000000000005826e+00,6.739723499556921071e-01,3.369861749778461046e+01,1.280340491235243405e+00
7.600000000000005862e+00,6.749968273869783042e-01,3.374984136934891410e+01,1.280596789107590894e+00
7.640000000000005898e+00,6.760211594766181165e-01,3.380105797383090760e+01,1.280415112049837489e+00
7.680000000000005933e+00,6.770450110329335747e-01,3.385225055164667651e+01,1.279814445394222844e+00
7.720000000000005969e+00,6.780680964824981061e-01,3.390340482412490530e+01,1.278856811955719763e+00
7.760000000000006004e+00,6.790902089994870217e-01,3.395451044997435019e+01,1.277640646236122279e+00
7.800000000000006040e+00,6.801112413646058785e-01,3.400556206823029015e+01,1.276290456398498918e+00
7.840000000000006075e+00,6.811311965199200458e-01,3.405655982599600407e+01,1.274943944142847840e+00
7.880000000000006111e+00,6.821501868916227673e-01,3.410750934458113903e+01,1.273737964628374186e+00
7.920000000000006146e+00,6.831684226940064608e-01,3.415842113470032615e+01,1.272794752979677924e+00
7.960000000000006182e+00,6.841861904912984738e-01,3.420930952456492236e+01,1.272209746614905157e+00
8.000000000000005329e+00,6.852038241951293740e-01,3.426019120975647070e+01,1.272042129788708564e+00
8.040000000000004476e+00,6.862216713592476092e-01,3.431108356796238468e+01,1.272308955147849474e+00
8.080000000000003624e+00,6.872400580636387479e-01,3.436200290318193851e+01,1.272983380488845739e+00
8.120000000000002771e+00,6.882592558330040688e-01,3.441296279165020167e+01,1.273997211706578980e+00
8.160000000000001918e+00,6.892794538902392576e-01,3.446397269451196621e+01,1.275247571544113612e+00
8.200000000000001066e+00,6.903007395945007785e-01,3.451503697972503915e+01,1.276607130326823381e+00
8.240000000000000213e+00,6.913230891645310017e-01,3.456615445822654920e+01,1.277936962537751242e+00
8.279999999999999361e+00,6.923463697832333841e-01,3.461731848916166854e+01,1.279100773377983558e+00
8.319999999999998508e+00,6.933703530029525774e-01,3.466851765014762776e+01,1.279979024648980612e+00
8.359999999999997655e+00,6.943947381479355085e-01,3.471973690739677920e+01,1.280481431228785993e+00
8.399999999999996803e+00,6.954191832937840489e-01,3.477095916468920223e+01,1.280556432310575588e+00
8.439999999999995950e+00,6.964433405461041282e-01,3.482216702730520552e+01,1.280196565400082420e+00
8.479999999999995097e+00,6.974668918643209814e-01,3.487334459321604641e+01,1.279439147771022078e+00
8.519999999999994245e+00,6.984895816451669459e-01,3.492447908225834396e+01,1.278362226057438988e+00
8.559999999999993392e+00,6.995112426874373623e-01,3.497556213437187012e+01,1.277076302838153765e+00
8.599999999999992539e+00,7.005318129324604737e-01,3.502659064662302768e+01,1.275712806278939127e+00
8.639999999999991687e+00,7.015513413954755917e-01,3.507756706977377803e+01,1.274410578768758739e+00
8.679999999999990834e+00,7.025699828365535859e-01,3.512849914182768174e+01,1.273301801347592743e+00
8.719999999999989981e+00,7.035879818386566731e-01,3.517939909193282944e+01,1.272498752628692387e+00
8.759999999999989129e+00,7.046056479632359926e-01,3.523028239816179763e+01,1.272082655724204869e+00
8.799999999999988276e+00,7.056233244694568585e-01,3.528116622347284448e+01,1.272095632776171215e+00
8.839999999999987423e+00,7.066413536646360960e-01,3.533206768323180569e+01,1.272536493974030236e+00
8.879999999999986571e+00,7.076600422716796679e-01,3.538300211358398428e+01,1.273360758804464865e+00
8.919999999999985718e+00,7.086796302306884732e-01,3.543398151153442655e+01,1.274484948761056557e+00
8.959999999999984865e+00,7.097002660808451324e-01,3.548501330404225484e+01,1.275794812695707492e+00
8.999999999999984013e+00,7.107219914916638182e-01,3.553609957458319002e+01,1.277156763523379368e+00
9.039999999999983160e+00,7.117447366512089646e-01,3.558723683256044978e+01,1.278431449431494116e+00
9.079999999999982307e+00,7.127683271311325841e-01,3.563841635655662543e+01,1.279488099904391163e+00
9.119999999999981455e+00,7.137925016375255005e-01,3.568962508187627236e+01,1.280218132991173263e+00
9.159999999999980602e+00,7.148169388609090236e-01,3.574084694304544740e+01,1.280546529229376063e+00
9.199999999999979750e+00,7.158412906144344667e-01,3.579206453072172422e+01,1.280439691906920530e+00
9.239999999999978897e+00,7.168652177402493608e-01,3.584326088701246249e+01,1.279908907268456630e+00
9.279999999999978044e+00,7.178884249696195763e-01,3.589442124848098103e+01,1.279009036712963621e+00
9.319999999999977192e+00,7.189106910776773551e-01,3.594553455388386709e+01,1.277832635072151390e+00
9.359999999999976339e+00,7.199318912431925677e-01,3.599659456215962905e+01,1.276500206894048972e+00
9.399999999999975486e+00,7.209520094129712176e-01,3.604760047064856110e+01,1.275147712223301255e+00
9.439999999999974634e+00,7.219711395520749253e-01,3.609855697760374937e+01,1.273912673879706858e+00
9.479999999999973781e+00,7.229894757997146204e-01,3.614947378998573413e+01,1.272920309549618878e+00
9.519999999999972928e+00,7.240072926303917633e-01,3.620036463151959083e+01,1.272271038346417527e+00
9.559999999999972076e+00,7.250249170503758611e-01,3.625124585251879239e+01,1.272030524980038990e+00
9.599999999999971223e+00,7.260426955821193129e-01,3.630213477910596964e+01,1.272223164679431306e+00
9.639999999999970370e+00,7.270609592643095809e-01,3.635304796321547371e+01,1.272829602737601817e+00
9.679999999999969518e+00,7.280799900968148997e-01,3.640399950484074765e+01,1.273788540631848321e+00
9.719999999999968665e+00,7.290999922673964129e-01,3.645499961336982153e+01,1.275002713226847106e+00
9.759999999999967812e+00,7.301210710987743324e-01,3.650605355493871684e+01,1.276348539222382783e+00
9.799999999999966960e+00,7.311432219554747647e-01,3.655716109777373646e+01,1.277688570875490370e+00
9.839999999999966107e+00,7.321663303863258365e-01,3.660831651931628983e+01,1.278885538563834245e+00
9.879999999999965254e+00,7.331901836264621553e-01,3.665950918132310932e+01,1.279816550170487233e+00
9.919999999999964402e+00,7.342144923621797270e-01,3.671072461810898346e+01,1.280385919646853665e+00
9.959999999999963549e+00,7.352389205211782297e-01,3.676194602605891504e+01,1.280535198748289361e+00
9.999999999999962697e+00,7.362631199439807483e-01,3.681315599719903986e+01,1.280249278503120536e+00
1.003999999999996184e+01,7.372867662487119222e-01,3.686433831243559922e+01,1.279557880913984036e+00
1.007999999999996099e+01,7.383095920934479306e-01,3.691547960467239875e+01,1.278532305919988232e+00
1.011999999999996014e+01,7.393314143753108025e-01,3.696657071876553857e+01,1.277277852328495555e+00
1.015999999999995929e+01,7.403521526193532765e-01,3.701760763096766027e+01,1.275922805053042453e+00
1.019999999999995843e+01,7.413718367931225739e-01,3.706859183965612914e+01,1.274605217211721708e+00
1.023999999999995758e+01,7.423906039009902091e-01,3.711953019504951357e+01,1.273458884834610672e+00
1.027999999999995673e+01,7.434086838366342764e-01,3.717043419183171693e+01,1.272599919555084114e+00
1.031999999999995588e+01,7.444263759972417072e-01,3.722131879986208247e+01,1.272115200759138531e+00
1.035999999999995502e+01,7.454440190117760379e-01,3.727220095058880389e+01,1.272053768168035504e+00
1.039999999999995417e+01,7.464619565589231120e-01,3.732309782794615671e+01,1.272421933933820526e+00
1.043999999999995332e+01,7.474805026147065545e-01,3.737402513073532617e+01,1.273182569729236491e+00
1.047999999999995246e+01,7.484999095515472156e-01,3.742499547757736167e+01,1.274258671050887415e+00
1.051999999999995161e+01,7.495203422924751058e-01,3.747601711462375818e+01,1.275540926159912658e+00
1.055999999999995076e+01,7.505418611992860090e-01,3.752709305996430089e+01,1.276898633513567916e+00
1.059999999999994991e+01,7.515644155593191877e-01,3.757822077796596005e+01,1.278192950041479037e+00
1.063999999999994905e+01,7.525878484832861925e-01,3.762939242416430830e+01,1.279291154958706045e+00
1.067999999999994820e+01,7.536119128320785121e-01,3.768059564160392938e+01,1.280080435990527121e+00
1.071999999999994735e+01,7.546362965863305794e-01,3.773181482931652653e+01,1.280479692814928683e+00
1.075999999999994650e+01,7.556606550141005130e-01,3.778303275070502565e+01,1.280448034712478034e+00
1.079999999999994564e+01,7.566846462248471017e-01,3.783423231124235286e+01,1.279989013433180389e+00
1.083999999999994479e+01,7.577079663312129565e-01,3.788539831656064649e+01,1.279150132957340702e+00
1.087999999999994394e+01,7.587303805191298878e-01,3.793651902595649261e+01,1.278017734896153002e+00
1.091999999999994309e+01,7.597517468283715436e-01,3.798758734141857474e+01,1.276707886552053139e+00
1.095999999999994223e+01,7.607720302838906212e-01,3.803860151419453217e+01,1.275354319398935843e+00
1.099999999999994138e+01,7.617913060707909301e-01,3.808956530353955117e+01,1.274094733625474873e+00
1.103999999999994053e+01,7.628097515781784299e-01,3.814048757890891750e+01,1.273056884234158304e+00
1.107999999999993967e+01,7.638276282291087682e-01,3.819138141145543841e+01,1.272345813663022795e+00
1.111999999999993882e+01,7.648452549718068871e-01,3.824226274859034902e+01,1.272033428372765229e+00
1.115999999999993797e+01,7.658629760667285957e-01,3.829314880333642890e+01,1.272151368651996961e+00
1.119999999999993712e+01,7.668811263227268693e-01,3.834405631613634569e+01,1.272687819997919689e+00
1.123999999999993626e+01,7.678999971855203777e-01,3.839499985927601955e+01,1.273588578491846590e+00
1.127999999999993541e+01,7.689198070409226649e-01,3.844599035204613102e+01,1.274762319252786824e+00
1.131999999999993456e+01,7.699406787501942295e-01,3.849703393750971259e+01,1.276089636589539111e+00
1.135999999999993371e+01,7.709626267870646199e-01,3.854813133935323322e+01,1.277435046088015724e+00
1.139999999999993285e+01,7.719855554256331853e-01,3.859927777128165616e+01,1.278660798210573546e+00
1.143999999999993200e+01,7.730092683052226521e-01,3.865046341526113594e+01,1.279641099486994449e+00
1.147999999999993115e+01,7.740334884844721763e-01,3.870167442422360438e+01,1.280275224061711015e+00
