t,Energy,DissipationProxy,DeltaIntU,HalfDeltaIntPhi,misfit
26.479999999999613,15147.295703570235,-76.2408862546342,520.3761646516468,520.3761646507846,8.62200977280736e-10
26.519999999999612,15146.505391773097,-76.30627854523618,521.3310606646337,521.3310606638079,8.258211892098188e-10
26.55999999999961,15145.714861481332,-76.37160312426347,522.2862219601884,522.2862219593262,8.62200977280736e-10
26.59999999999961,15144.924113534327,-76.43686710184336,523.2416506641785,523.2416506631926,9.858922567218542e-10
26.63999999999961,15144.13314885416,-76.50207762847398,524.1973488475414,524.1973488465737,9.677023626863956e-10
26.67999999999961,15143.341968444529,-76.56724187513109,525.153318520137,525.1533185191365,1.000444171950221e-09
26.719999999999608,15142.550573389406,-76.6323670133809,526.1095616229286,526.1095616220737,8.549250196665525e-10
26.759999999999607,15141.758964850816,-76.69746019555225,527.0660800220176,527.066080021159,8.585629984736443e-10
26.799999999999606,15140.967144064723,-76.76252853502868,528.0228755015632,528.0228755005664,9.968061931431293e-10
26.839999999999606,15140.175112337985,-76.827579086708,528.9799497576096,528.9799497567292,8.803908713161945e-10
26.879999999999605,15139.382871047948,-76.89261882768226,529.937304392748,529.9373043918058,9.422365110367537e-10
26.919999999999604,15138.590421637145,-76.95765463819725,530.8949409099223,530.8949409089291,9.931682143360376e-10
26.959999999999603,15137.79776560979,-77.02269328293305,531.8528607072694,531.8528607062945,9.74978320300579e-10
26.999999999999602,15137.004904528243,-77.08774139267129,532.8110650730923,532.8110650720773,1.014996087178588e-09
27.0399999999996,15136.211840011576,-77.15280544637342,533.7695551805118,533.7695551796569,8.549250196665525e-10
27.0799999999996,15135.418573727555,-77.21789175374808,534.7283320848328,534.7283320838833,9.49512468650937e-10
27.1199999999996,15134.62510739248,-77.28300643833103,535.6873967172687,535.6873967162173,1.051375875249505e-09
27.1599999999996,15133.831442766366,-77.34815542113088,536.6467498826496,536.6467498816601,9.89530235528946e-10
27.199999999999598,15133.037581645625,-77.41334440488741,537.6063922556423,537.6063922548055,8.36735125631094e-10
27.239999999999597,15132.243525862645,-77.47857885897683,538.5663243783856,538.5663243774652,9.204086381942034e-10
27.279999999999596,15131.44927727987,-77.54386400500583,539.526546656838,539.5265466557576,1.0804797057062387e-09
27.319999999999595,15130.654837784607,-77.60920480313673,540.4870593595188,540.487059358351,1.1677911970764399e-09
27.359999999999594,15129.860209285083,-77.67460593916995,541.4478626148921,541.4478626139571,9.349605534225702e-10
27.399999999999594,15129.065393706389,-77.74007181242663,542.4089564115857,542.4089564105379,1.0477378964424133e-09
27.439999999999593,15128.27039298568,-77.80560652445523,543.3703405952001,543.3703405942833,9.167706593871117e-10
27.479999999999592,15127.47520906668,-77.87121386859064,544.3320148690436,544.3320148680432,1.000444171950221e-09
27.51999999999959,15126.67984389574,-77.93689732039651,545.2939787935975,545.293978792597,1.000444171950221e-09
27.55999999999959,15125.884299418109,-78.00266002901408,546.256231787087,546.2562317858647,1.2223608791828156e-09
27.59999999999959,15125.088577570603,-78.06850480942778,547.2187731248487,547.2187731237209,1.127773430198431e-09
27.63999999999959,15124.292680280996,-78.13443413568106,548.1816019418402,548.181601940807,1.0331859812140465e-09
