t; tip_pos; V_tip
360;175.935;0.096316
360.4;175.974;0.0978215
360.8;176.013;0.0968492
361.2;176.051;0.0944064
361.6;176.089;0.0925591
362;176.125;0.0908902
362.4;176.161;0.0893948
362.8;176.197;0.0880684
363.2;176.232;0.0869071
363.6;176.266;0.0859072
364;176.3;0.0850655
364.4;176.334;0.084379
364.8;176.368;0.0838452
365.2;176.401;0.0834621
365.6;176.435;0.0832278
366;176.468;0.0831408
366.4;176.501;0.0832002
366.8;176.535;0.083405
367.2;176.568;0.083755
367.6;176.602;0.0842501
368;176.635;0.0848905
368.4;176.669;0.0856767
368.8;176.704;0.0866097
369.2;176.739;0.0876907
369.6;176.774;0.0889212
370;176.81;0.0903032
370.4;176.846;0.0918389
370.8;176.883;0.0935307
371.2;176.921;0.0953816
371.6;176.96;0.0973947
372;176.999;0.0971885
372.4;177.037;0.0949075
372.8;177.075;0.0929758
373.2;177.112;0.0912549
373.6;177.148;0.0897074
374;177.184;0.0883286
374.4;177.219;0.0871146
374.8;177.253;0.0860614
375.2;177.287;0.0851659
375.6;177.321;0.0844249
376;177.355;0.083836
376.4;177.388;0.0833967
376.8;177.422;0.0831053
377.2;177.455;0.0829602
377.6;177.488;0.0829602
378;177.521;0.0831043
378.4;177.555;0.0833922
378.8;177.588;0.0838235
379.2;177.622;0.0843984
379.6;177.656;0.0851171
380;177.69;0.0859807
380.4;177.724;0.08699
380.8;177.759;0.0881466
381.2;177.795;0.0894522
381.6;177.831;0.0909086
382;177.868;0.0925183
382.4;177.905;0.0942839
382.8;177.943;0.0962083
383.2;177.982;0.0972358
383.6;178.021;0.0958416
384;178.059;0.093487
384.4;178.096;0.0917044
384.8;178.132;0.0900951
385.2;178.168;0.0886544
385.6;178.203;0.087378
386;178.238;0.0862622
386.4;178.272;0.0853033
386.8;178.306;0.0844984
387.2;178.339;0.0838447
387.6;178.373;0.0833399
388;178.406;0.0829818
388.4;178.439;0.0827689
388.8;178.472;0.0826999
389.2;178.505;0.0827736
389.6;178.539;0.0829895
390;178.572;0.083347
390.4;178.605;0.0838463
390.8;178.639;0.0844875
391.2;178.673;0.0852713
391.6;178.707;0.0861986
392;178.742;0.0872706
392.4;178.777;0.0884888
392.8;178.813;0.089855
393.2;178.849;0.0913712
393.6;178.886;0.0930399
394;178.923;0.0948638
394.4;178.962;0.0968215
394.8;179.001;0.0964783
395.2;179.039;0.0941558
395.6;179.076;0.0922983
396;179.113;0.0906141
396.4;179.148;0.0890986
396.8;179.184;0.0877473
397.2;179.219;0.0865563
397.6;179.253;0.0855221
398;179.287;0.0846412
398.4;179.321;0.083911
398.8;179.354;0.0833289
399.2;179.387;0.0828927
399.6;179.421;0.0826007
400;179.454;0.0824512
400.4;179.487;0.0824431
400.8;179.52;0.0825757
401.2;179.553;0.0828482
401.6;179.586;0.0832607
402;179.619;0.0838131
402.4;179.653;0.0845059
402.8;179.687;0.0853398
403.2;179.721;0.0863157
403.6;179.756;0.0874349
404;179.791;0.088699
404.4;179.827;0.0901099
404.8;179.863;0.0916698
405.2;179.9;0.0933811
405.6;179.938;0.0952465
406;179.976;0.0965626
406.4;180.015;0.0954602
406.8;180.053;0.0930834
407.2;180.09;0.0913091
407.6;180.126;0.0897039
408;180.161;0.0882633
408.4;180.196;0.0869831
408.8;180.231;0.0858596
409.2;180.265;0.0848894
409.6;180.299;0.0840695
410;180.332;0.0833972
410.4;180.366;0.0828701
410.8;180.399;0.0824863
411.2;180.432;0.082244
411.6;180.464;0.082142
412;180.497;0.0821791
412.4;180.53;0.0823548
412.8;180.563;0.0826685
413.2;180.596;0.0831203
413.6;180.63;0.0837102
414;180.663;0.0844388
414.4;180.697;0.0853067
414.8;180.731;0.0863151
415.2;180.766;0.0874654
415.6;180.801;0.088759
416;180.837;0.090198
416.4;180.874;0.0917845
416.8;180.911;0.0935211
417.2;180.948;0.0954104
417.6;180.987;0.0960747
418;181.025;0.0944382
418.4;181.063;0.092223
418.8;181.099;0.0905118
419.2;181.135;0.088966
419.6;181.17;0.0875812
420;181.205;0.0863535
420.4;181.239;0.0852793
420.8;181.273;0.0843554
421.2;181.307;0.083579
421.6;181.34;0.0829473
422;181.373;0.0824584
422.4;181.406;0.0821102
422.8;181.439;0.0819013
423.2;181.472;0.0818305
423.6;181.504;0.0818967
424;181.537;0.0820995
424.4;181.57;0.0824383
424.8;181.603;0.0829132
425.2;181.636;0.0835245
425.6;181.67;0.0842725
426;181.704;0.0851583
